ID,Title,PublicationDate,Rating
37253,Жизнь, тюрьма или смерть: рецензия на фильм «Событие»,1643385816,0.73
37181,По прозвищу «Стэн»: рецензия на фильм «Аллея кошмаров»,1643184357,0.5
37053,Мальчик, который не выжил: рецензия на фильм «King's Man: Начало»,1642597614,0.5
36756,Ошибка 404: рецензия на фильм «Матрица: Воскрешение»,1640158764,0.73
36641,Одна рука, одно сердце и один «Смит и Вессон»: рецензия на фильм «Вестсайдская история»,1639411450,0.5
36520,Убийство священной коровы: рецензия на фильм «Дом Gucci»,1638798417,0.88
36420,Зеркало для Элли: рецензия на фильм «Прошлой ночью в Сохо»,1638263083,0.73
36348,Пьянству бой: антиалкогольные кампании времён СССР,1638180420,0.73
36296,Быть Уэсом Андерсоном: рецензия на фильм «Французский вестник»,1637593909,0.5
36129,Кто в terra matter живёт: рецензия на фильм «Вечные»,1636720371,0.5
35911,Как боролись с проституцией в СССР?,1635500567,0.5
35680,В поисках амурных приключений: гид по петербургским борделям XIX века,1634813695,0.5
35793,Неприкаянная: рецензия на фильм «Герда»,1634799695,0.5
35632,Шпион, который себя убил: рецензия на фильм «Не время умирать»,1633961590,0.73
35544,Круши ради нас: рецензия на фильм «Веном 2»,1633422169,0.5
35498,Ленинградская пейзажная школа: душа города,1633074155,0.5
35490,Надутые цыплята, молоко со щёлочью и другие уловки продавцов в дореволюционном Петербурге,1633015214,0.5
35393,Долгая дорога с Дени: рецензия на фильм «Дюна»,1632123955,0.73
35350,Опись приданого, свадебный чай и медовый месяц в Финляндии: как петербуржцы играли свадьбы до революции?,1631865917,0.5
35246,Анна Остроумова-Лебедева: королева гравюры,1631201048,0.5
35132,Как учились в гимназиях в дореволюционном Петербурге?,1631117253,0.73
35190,«В чем сила, сестра?»: рецензия на фильм «Нефутбол»,1631013599,0.5
35144,Что привезти из Москвы в качестве сувениров?,1630589018,0.73
35135,Шарден: рисуя третье сословие,1630588750,0.5
35076,Погибнуть нельзя спастись: рецензия на фильм «Легенда о Зелёном рыцаре»,1630325952,0.73
34930,Она живая: рецензия на фильм «Аннетт»,1629376558,0.5
34912,Александра Экстер: амазонка русского авангарда,1629376021,0.5
34862,Живёт такой Парень: рецензия на фильм «Главный герой»,1629106438,0.5
